,Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_min,EC_max,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd
66.00,Knn-H,ratio-diff-signed,5.00,50.00,0.10,0.02,0.07,0.07,-1.00,1.00,-0.83,-0.14,0.02,0.07,0.16,0.52,0.85,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
67.00,Knn-H,intersection_union_sample,5.00,50.00,0.39,0.02,0.40,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.85,0.98,1.00,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
68.00,Knn-H,intersection_union_all,5.00,50.00,0.30,NA,0.01,0.30,0.28,0.36,0.29,0.29,0.29,0.30,0.30,0.31,0.34,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
69.00,Knn-H,negative_incon,5.00,50.00,0.18,0.02,0.60,-0.05,-0.50,1.00,-0.50,-0.50,-0.46,-0.05,0.85,0.98,1.00,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
70.00,Knn-H,positive_incon,5.00,50.00,26.39,0.19,23.95,18.64,0.00,153.74,0.62,2.44,8.65,18.64,36.48,78.66,104.15,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
71.00,Knn-H,intersection_union_distance,5.00,50.00,19.56,0.37,26.02,6.21,0.00,153.74,0.00,0.31,2.32,6.21,29.64,78.66,104.15,18.15,0.11,0.10,0.00,516.89,4.57,22.74,0.10,0.21,0.01
72.00,Knn,ratio,5.00,50.00,0.73,0.05,0.14,0.80,0.00,1.00,0.03,0.16,0.58,0.80,0.95,1.00,1.00,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
73.00,Knn,ratio-diff,5.00,50.00,0.19,0.03,0.13,0.11,0.00,1.00,0.00,0.00,0.03,0.11,0.27,0.73,0.94,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
74.00,Knn,ratio-signed,5.00,50.00,0.67,0.06,0.24,0.80,-1.00,1.00,-0.76,-0.21,0.55,0.80,0.94,1.00,1.00,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
75.00,Knn,ratio-diff-signed,5.00,50.00,0.12,0.02,0.10,0.08,-1.00,1.00,-0.85,-0.34,0.01,0.08,0.21,0.62,0.91,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
76.00,Knn,intersection_union_sample,5.00,50.00,0.35,0.03,0.37,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.79,1.00,1.00,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
77.00,Knn,intersection_union_all,5.00,50.00,0.26,NA,0.01,0.26,0.24,0.33,0.24,0.25,0.25,0.26,0.26,0.27,0.32,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
78.00,Knn,negative_incon,5.00,50.00,0.14,0.02,0.56,-0.11,-0.50,1.00,-0.50,-0.50,-0.45,-0.11,0.79,1.00,1.00,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
79.00,Knn,positive_incon,5.00,50.00,29.43,0.27,26.13,21.16,0.00,201.84,0.56,2.60,10.12,21.16,40.12,85.10,121.78,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
80.00,Knn,intersection_union_distance,5.00,50.00,23.46,0.56,28.14,10.44,0.00,201.84,0.00,0.00,3.58,10.44,35.30,85.10,121.78,19.99,0.17,0.11,0.00,619.32,8.97,24.89,0.18,0.05,0.01
81.00,SVR-H,ratio,5.00,50.00,0.69,0.06,0.16,0.77,0.00,1.00,0.03,0.14,0.54,0.77,0.90,0.99,1.00,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
82.00,SVR-H,ratio-diff,5.00,50.00,0.22,0.04,0.14,0.13,0.00,1.00,0.00,0.01,0.05,0.13,0.30,0.75,0.94,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
83.00,SVR-H,ratio-signed,5.00,50.00,0.62,0.08,0.27,0.76,-1.00,1.00,-0.81,-0.29,0.50,0.76,0.90,0.99,1.00,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
84.00,SVR-H,ratio-diff-signed,5.00,50.00,0.13,0.03,0.08,0.10,-1.00,1.00,-0.88,-0.43,0.03,0.10,0.23,0.63,0.90,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
85.00,SVR-H,intersection_union_sample,5.00,50.00,0.32,0.04,0.35,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.74,0.96,1.00,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
86.00,SVR-H,intersection_union_all,5.00,50.00,0.24,NA,0.02,0.23,0.19,0.35,0.20,0.21,0.22,0.23,0.25,0.27,0.30,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
87.00,SVR-H,negative_incon,5.00,50.00,0.10,0.03,0.54,-0.19,-0.50,1.00,-0.50,-0.49,-0.44,-0.19,0.74,0.96,1.00,12.47,0.17,0.07,0.00,272.55,7.00,16.51,0.21,0.58,0.01
